symbol,name,date,price
AMZN,Amazon.com Inc,Mar 2012,189.53
AMZN,Amazon.com Inc,Apr 2012,195.29
AMZN,Amazon.com Inc,May 2012,220.88
AMZN,Amazon.com Inc,Jun 2012,219.27
AMZN,Amazon.com Inc,Jul 2012,224.06
AMZN,Amazon.com Inc,Aug 2012,238.99
AMZN,Amazon.com Inc,Sep 2012,255.74
AMZN,Amazon.com Inc,Oct 2012,244.29
AMZN,Amazon.com Inc,Nov 2012,234.42
AMZN,Amazon.com Inc,Dec 2012,252.82
AMZN,Amazon.com Inc,Jan 2013,268.38
AMZN,Amazon.com Inc,Feb 2013,263.82
AMZN,Amazon.com Inc,Mar 2013,265.76
AMZN,Amazon.com Inc,Apr 2013,263.07
AMZN,Amazon.com Inc,May 2013,262.73
AMZN,Amazon.com Inc,Jun 2013,274.1
AMZN,Amazon.com Inc,Jul 2013,298.98
AMZN,Amazon.com Inc,Aug 2013,291.15
AMZN,Amazon.com Inc,Sep 2013,304.73
AMZN,Amazon.com Inc,Oct 2013,325.97
AMZN,Amazon.com Inc,Nov 2013,364.83
AMZN,Amazon.com Inc,Dec 2013,391.5
AMZN,Amazon.com Inc,Jan 2014,394.86
AMZN,Amazon.com Inc,Feb 2014,354.34
AMZN,Amazon.com Inc,Mar 2014,362.63
AMZN,Amazon.com Inc,Apr 2014,321.64
AMZN,Amazon.com Inc,May 2014,302.95
AMZN,Amazon.com Inc,Jun 2014,324.57
AMZN,Amazon.com Inc,Jul 2014,339.92
AMZN,Amazon.com Inc,Aug 2014,327.33
AMZN,Amazon.com Inc,Sep 2014,330.31
AMZN,Amazon.com Inc,Oct 2014,308.41
AMZN,Amazon.com Inc,Nov 2014,318.69
AMZN,Amazon.com Inc,Dec 2014,308.79
AMZN,Amazon.com Inc,Jan 2015,302.75
AMZN,Amazon.com Inc,Feb 2015,375.75
AMZN,Amazon.com Inc,Mar 2015,375.32
AMZN,Amazon.com Inc,Apr 2015,394.21
AMZN,Amazon.com Inc,May 2015,426.93
AMZN,Amazon.com Inc,Jun 2015,432.6
AMZN,Amazon.com Inc,Jul 2015,478.71
AMZN,Amazon.com Inc,Aug 2015,518.46
AMZN,Amazon.com Inc,Sep 2015,520.96
AMZN,Amazon.com Inc,Oct 2015,566.74
AMZN,Amazon.com Inc,Nov 2015,657.7
AMZN,Amazon.com Inc,Dec 2015,669.26
AMZN,Amazon.com Inc,Jan 2016,601.06
AMZN,Amazon.com Inc,Feb 2016,530.62
AMZN,Amazon.com Inc,Mar 2016,572.37
AMZN,Amazon.com Inc,Apr 2016,613.59
AMZN,Amazon.com Inc,May 2016,697.47
AMZN,Amazon.com Inc,Jun 2016,716.39
AMZN,Amazon.com Inc,Jul 2016,741.47
AMZN,Amazon.com Inc,Aug 2016,764.84
AMZN,Amazon.com Inc,Sep 2016,788.97
AMZN,Amazon.com Inc,Oct 2016,824.44
AMZN,Amazon.com Inc,Nov 2016,763.34
AMZN,Amazon.com Inc,Dec 2016,763.33
AMZN,Amazon.com Inc,Jan 2017,807.5
AMZN,Amazon.com Inc,Feb 2017,835.75
AMZN,Amazon.com Inc,Mar 2017,854.24
AMZN,Amazon.com Inc,Apr 2017,903.39
AMZN,Amazon.com Inc,May 2017,961.72
AMZN,Amazon.com Inc,Jun 2017,990.44
AMZN,Amazon.com Inc,Jul 2017,1008.48
AMZN,Amazon.com Inc,Aug 2017,971.27
AMZN,Amazon.com Inc,Sep 2017,968.99
AMZN,Amazon.com Inc,Oct 2017,1000.72
AMZN,Amazon.com Inc,Nov 2017,1139.81
AMZN,Amazon.com Inc,Dec 2017,1168.84
AMZN,Amazon.com Inc,Jan 2018,1309.01
